containerDesignation,fishFemales,fishMales,fishTotal,sbAq_StLT_view::fishLabel,fishUnsexed,researcherInitials,statusContainer,statusFishQuantity,statusStock
E31,,,,498.00.0000,,,1,0,1
A01,,,32,465.00.0000,32,,1,1,1
A02,,,30,408.00.0000,30,,1,1,1
A03,,,35,461.00.0000,35,,1,1,1
A04,,,7,301.00.0000,7,,1,1,1
A05,,,25,482.00.0000,25,,1,1,1
A06,,,20,304.00.0000,20,,1,1,1
A07,,,40,473.00.0000,40,,1,1,1
A08,,,40,500.00.0000,40,,1,1,1
A09,,,26,325.00.0000,26,,1,1,1
A10,,,10,298.00.0000,10,,1,1,1
A11,,,66,341.00.0000,66,,1,1,1
A12,,,7,333.00.0000,7,,1,1,1
A13,,,30,296.00.0000,30,,1,1,1
A14,,,20,519.00.0000,20,,1,1,1
A15,,,30,518.00.0000,30,,1,1,1
A16,,,9,445.00.0000,9,,1,1,1
A17,,,40,356.00.0000,40,,1,1,1
A18,,,30,344.00.0000,30,,1,1,1
A19,,,50,466.00.0000,50,,1,1,1
A20,,,8,303.00.0000,8,,1,1,1
A21,,,12,426.00.0000,12,,1,1,1
A22,,,8,387.00.0000,8,,1,1,1
A23,,,3,509.00.0000,3,,1,1,1
A24,,,12,520.00.0000,12,,1,1,1
A25,,,35,504.00.0000,35,,1,1,1
A26,,,9,,9,,1,1,0
A27,,,8,,8,,1,1,0
A28,,,8,,8,,1,1,0
A29,,,30,516.00.0000,30,,1,1,1
A30,,,30,515.00.0000,30,,1,1,1
A31,,,8,517.00.0000,8,,1,1,1
A32,,,40,514.00.0000,40,,1,1,1
B01,,,60,485.00.0000,60,,1,1,1
B02,,,60,379.00.0000,60,,1,1,1
B03,,,41,373.00.0000,41,,1,1,1
B05,,,20,,20,,1,1,0
B06,,,50,,50,,1,1,0
B07,,,50,,50,,1,1,0
B08,,,50,468.00.0000,50,,1,1,1
B09,,,60,474.00.0000,60,,1,1,1
B10,,,30,480.00.0000,30,,1,1,1
B11,,,30,499.00.0000,30,,1,1,1
B12,,,7,302.00.0000,7,,1,1,1
B13,,,30,495.00.0000,30,,1,1,1
B14,,,9,490.00.0000,9,,1,1,1
B15,,,35,491.00.0000,35,,1,1,1
B16,,,46,307.00.0000,46,,1,1,1
B17,,,30,456.00.0000,30,,1,1,1
B18,,,10,457.00.0000,10,,1,1,1
B19,,,26,454.00.0000,26,,1,1,1
B20,,,40,455.00.0000,40,,1,1,1
B21,,,40,295.00.0000,40,,1,1,1
B22,,,19,288.00.0000,19,,1,1,1
B23,,,10,293.00.0000,10,,1,1,1
B24,,,7,287.00.0000,7,,1,1,1
B25,,,20,336.00.0000,20,,1,1,1
B26,,,15,330.00.0000,15,,1,1,1
B27,,,8,314.00.0000,8,,1,1,1
B28,,,20,310.00.0000,20,,1,1,1
B29,,,14,312.00.0000,14,,1,1,1
B30,,,1,317.00.0000,1,,1,1,1
B31,,,14,293.00.0000,14,,1,1,1
B32,,,36,295.00.0000,36,,1,1,1
B33,,,10,335.00.0000,10,,1,1,1
B34,,,20,334.00.0000,20,,1,1,1
B35,,,30,316.00.0000,30,,1,1,1
B36,,,30,294.00.0000,30,,1,1,1
B37,,,20,300.00.0000,20,,1,1,1
B38,,,7,311.00.0000,7,,1,1,1
B39,,,16,339.00.0000,16,,1,1,1
B40,,,18,297.00.0000,18,,1,1,1
C01,,,25,397.00.0000,25,,1,1,1
C02,,,30,308.00.0000,30,,1,1,1
C03,,,25,299.00.0000,25,,1,1,1
C04,,,30,313.00.0000,30,,1,1,1
C05,,,10,486.00.0000,10,,1,1,1
C06,,,20,305.00.0000,20,,1,1,1
C07,,,8,446.00.0000,8,,1,1,1
C08,,,17,409.00.0000,17,,1,1,1
C09,,,8,326.00.0000,8,,1,1,1
C10,,,10,320.00.0000,10,,1,1,1
C11,,,20,319.00.0000,20,,1,1,1
C12,,,25,,25,,1,1,0
C13,,,30,280.00.0000,30,,1,1,1
C14,,,30,280.00.0000,30,,1,1,1
C15,,,30,280.00.0000,30,,1,1,1
C16,,,30,280.00.0000,30,,1,1,1
C17,,,30,280.00.0000,30,,1,1,1
C18,,,30,280.00.0000,30,,1,1,1
C19,,,60,485.00.0000,60,,1,1,1
C20,,,50,379.00.0000,50,,1,1,1
C21,,,40,373.00.0000,40,,1,1,1
C22,,,30,280.00.0000,30,,1,1,1
C23,,,30,280.00.0000,30,,1,1,1
C24,,,30,280.00.0000,30,,1,1,1
C25,,,40,283.00.0000,40,,1,1,1
C26,,,30,283.00.0000,30,,1,1,1
C27,,,40,282.00.0000,40,,1,1,1
C28,,,50,383.00.0000,50,,1,1,1
C29,,,40,386.00.0000,40,,1,1,1
C30,,,40,340.00.0000,40,,1,1,1
C31,,,40,413.00.0000,40,,1,1,1
C32,,,40,357.00.0000,40,,1,1,1
C33,,,40,367.00.0000,40,,1,1,1
C34,,,40,406.00.0000,40,,1,1,1
C35,,,1000,527.00.0000,1000,,1,1,1
C36,,,20,415.00.0000,20,,1,1,1
E01,,,8,280.00.0000,8,,1,1,1
E02,,,8,280.00.0000,8,,1,1,1
E03,,,7,280.00.0000,7,,1,1,1
E04,,,8,280.00.0000,8,,1,1,1
E05,,,60,528.00.0000,60,,1,1,1
E06,,,60,529.00.0000,60,,1,1,1
E07,,,50,530.00.0000,50,,1,1,1
E08,,,40,531.00.0000,40,,1,1,1
E09,,,30,280.00.0000,30,,1,1,1
E10,,,20,280.00.0000,20,,1,1,1
E11,,,30,280.00.0000,30,,1,1,1
E12,,,60,532.00.0000,60,,1,1,1
E13,,,50,533.00.0000,50,,1,1,1
E14,,,60,535.00.0000,60,,1,1,1
E15,,,50,534.00.0000,50,,1,1,1
E16,,,30,536.00.0000,30,,1,1,1
E17,,,9,280.00.0000,9,,1,1,1
E18,,,10,280.00.0000,10,,1,1,1
E19,,,20,280.00.0000,20,,1,1,1
E20,,,14,472.00.0000,14,,1,1,1
E22,,,30,475.00.0000,30,,1,1,1
E23,,,52,505.00.0000,52,,1,1,1
E24,,,50,501.00.0000,50,,1,1,1
E25,,,50,537.00.0000,50,,1,1,1
E26,,,30,538.00.0000,30,,1,1,1
E27,,,30,539.00.0000,30,,1,1,1
E28,,,7,540.00.0000,7,,1,1,1
E29,,,,,,,1,0,0
E30,,,15,496.00.0000,15,,1,1,1
E32,,,70,503.00.0000,70,,1,1,1
A09F17,,,,,,,1,0,0
B04,,,35,,35,,1,1,0
A08E17,,,20,,20,,1,1,0
A08E18,,,20,,20,,1,1,0
A08E19,,,10,,10,,1,1,0
A08E20,,,41,,41,,1,1,0
A08F20,,,10,,10,,1,1,0
A08F21,,,10,,10,,1,1,0
A09F18,,,20,,20,,1,1,0
A09F21,,,10,,10,,1,1,0
D07,,,8,510.00.0000,8,,1,1,1
D08,,,8,,8,,1,1,0
E21,,,60,494.00.0000,60,,1,1,1
A08E21,,,,,,,1,0,0
A08E22,,,,,,,1,0,0
A08E23,,,,,,,1,0,0
A08E24,,,,,,,1,0,0
A08F17,,,,,,,1,0,0
A08F18,,,,,,,1,0,0
A08F19,,,,,,,1,0,0
A08F22,,,,,,,1,0,0
A08F23,,,,,,,1,0,0
A08F24,,,,,,,1,0,0
A09E17,,,,,,,1,0,0
A09E18,,,,,,,1,0,0
A09E19,,,,,,,1,0,0
A09E20,,,,,,,1,0,0
A09E21,,,,,,,1,0,0
A09E22,,,,,,,1,0,0
A09E23,,,,,,,1,0,0
A09E24,,,,,,,1,0,0
A09F19,,,,,,,1,0,0
A09F20,,,,,,,1,0,0
A09F22,,,,,,,1,0,0
A09F23,,,,,,,1,0,0
A09F24,,,,,,,1,0,0
D01,,,20,278.00.0000,20,,1,1,1
D02,,,,,,,1,0,0
D03,,,,,,,1,0,0
D04,,,3,513.00.0000,3,,1,1,1
D05,,,8,512.00.0000,8,,1,1,1
D06,,,15,511.00.0000,15,,1,1,1
D09,,,,,,,1,0,0
D10,,,,,,,1,0,0
D11,,,,,,,1,0,0
D12,,,,,,,1,0,0
D13,,,2,,2,,1,1,0
D14,,,8,,8,,1,1,0
D15,,,,,,,1,0,0
D16,,,,,,,1,0,0
A09F17,,,,,,,1,0,0
B04B04B0,,,,,,,1,0,0
B40,,,18,297.00.0000,18,,1,1,1
A09F17,,,,,,,1,0,0
B04B04B0,,,35,,35,,1,1,0
B04B04B04,,,35,,35,,0,1,0
B40,,,18,297.00.0000,18,,1,1,1
A09F17,,,,,,,1,0,0
B04B04B0,,,,,,,1,0,0
B04B04B04,,,,,,,0,0,0
B40,,,18,297.00.0000,18,,1,1,1
